#                       fmin  ,   foE   ,   h'E   ,   foEs  ,   h'Es  ,   fbEs  ,   foF1  ,   h'F   ,   h'F2  ,   foF2  ,   fxF2  ,   M3F2  ,   fxI   ,   hpF2  ,   fxEs  ,   ftEs  ,   fxF1  ,   FSPR  ,   MUF   ,   Es1   ,   Es2   ,   Es    ,   W     
OK426,20240322064500:  142    ,     ----, 1240----,     ----,  980----,     ----,     ----,     ----, 2080----,  698    ,  734----,     ----,  732X   , 2022----,  202----,     ----,     ----,   72----, 2287----,-----G   ,-----    ,     ----,-----    
OK426,20240322070000:  150    ,     ----, 1110----,  228----,  980----,     ----,     ----,     ----, 2000----,  722    ,  770----,     ----,  780X   , 2495----,  226----,  288----,     ----,   84----, 2413----,-----    ,-----    ,     ----,-----    
OK426,20240322071500:  150    ,     ----,  990----,  192----,  980----,     ----,     ----,     ----, 2000----,  718    ,  798----,     ----,  808X   , 2515----,  230----,  252----,     ----,  108----, 2651----,-----    ,-----    ,     ----,-----    
OK426,20240322073000:  166    ,     ----,  990----,  288----, 1020----,     ----,     ----, 2300----, 2000----,  750    ,  806----,     ----,  844X   , 2737----,  222----,  348----,     ----,   84----, 2489----,-----    ,-----    ,     ----,-----    
OK426,20240322074500:  166    ,     ----, 1230----,  308----, 1020----,     ----,     ----, 2700----, 2060----,  822    ,  886----,     ----,  908X   , 2844----,  222----,  368----,     ----,   72----, 2451----,-----    ,-----    ,     ----,-----    
OK426,20240322080000:  142    ,     ----,  930----,  340----,  960----,     ----,     ----, 2560----, 2220----,  922    ,  946----,     ----,  956X   , 2868----,  430----,  400----,     ----,   72----, 2806----,-----    ,-----    ,     ----,-----    
OK426,20240322081500:  142    ,     ----,  930----,  360----,  980----,     ----,     ----, 2800----, 2260----, 1054    , 1126----,     ----, 1096X   , 3184----,  390----,  420----,     ----,   72----, 3065----,-----    ,-----    ,     ----,-----    
OK426,20240322083000:  162    ,     ----,  930----,  384----,  980----,     ----,     ----, 2480----, 2280----, 1154    , 1146----,     ----, 1172X   , 2964----,  422----,  444----,     ----,   72----, 3458----,-----    ,-----    ,     ----,-----    
OK426,20240322084500:  154    ,     ----,  930----,  400----,  980----,     ----,     ----, 2320----, 2320----, 1278    , 1250----,     ----, 1268X   , 2880----,  406----,  460----,     ----,   84----, 3724----,-----    ,-----    ,     ----,-----    
OK426,20240322090000:  158    ,     ----,  930----,  404----,  980----,  409----,     ----, 2480----, 2460----, 1318    , 1378----,     ----, 1344X   , 2839----,  414----,  464----,     ----,   84----, 4098----,-----    ,-----    ,     ----,-----    
OK426,20240322091500:  154    ,     ----,  930----,  400----,  980----,     ----,     ----,     ----, 2400----, 1338    , 1414----,     ----, 1344X   , 2825----,  414----,  460----,     ----,   72----, 4086----,-----    ,-----    ,     ----,-----    
