#                       fmin  ,   foE   ,   h'E   ,   foEs  ,   h'Es  ,   fbEs  ,   foF1  ,   h'F   ,   h'F2  ,   foF2  ,   fxF2  ,   M3F2  ,   fxI   ,   hpF2  ,   fxEs  ,   ftEs  ,   fxF1  ,   FSPR  ,   MUF   ,   Es1   ,   Es2   ,   Es    ,   W     
WK546,20240322064500:  166    ,     ----, 1050----,  256----, 1020----,     ----,     ----, 3360----, 2600----,  742    ,  794----,     ----,  768X   , 3200----,  218----,  316----,     ----,  108----, 2130----,-----    ,-----    ,     ----,-----    
WK546,20240322070000:  166    ,     ----,  930----,  268----, 1000----,     ----,     ----, 2760----, 2540----,  762    ,  810----,     ----,  832X   , 2810----,  222----,  328----,     ----,  108----, 2469----,-----    ,-----    ,     ----,-----    
WK546,20240322071500:  166    ,     ----,  930----,  256----, 1020----,     ----,     ----, 2680----, 2160----,  770    ,  846----,     ----,  856X   , 2774----,  222----,  316----,     ----,   48----, 2386----,-----    ,-----    ,     ----,-----    
WK546,20240322073000:  162    ,     ----,  870----,  260----, 1000----,     ----,     ----, 2640----, 2280----,  794    ,  842----,     ----,  868X   , 2733----,  222----,  320----,     ----,   48----, 2605----,-----    ,-----    ,     ----,-----F   
WK546,20240322074500:  154    ,     ----,  920----,  380----,  960----,  320----,     ----, 2700----, 2260----,  714    ,  790----,     ----,  732X   , 2548----,  462----,  440----,     ----,   60----, 2320----,-----    ,-----    ,     ----,-----    
WK546,20240322080000:  158    ,     ----,  930----,  372----,  980----,  320----,     ----, 2640----, 2260----,  678    ,  718----,     ----,  756X   , 2665----,  398----,  432----,     ----,   96----, 2242----,-----    ,-----    ,     ----,-----    
WK546,20240322081500:  150    ,     ----,  920----,  372----,  980----,  544----,     ----, 3380----, 2100----,  686    ,  734----,     ----,  772X   , 2960----,  382----,  432----,     ----,  144----, 1983----,-----    ,-----    ,     ----,-----    
WK546,20240322083000:  146    ,     ----,  930----,  348----,  980----,     ----,     ----,     ----, 2300----,  658    ,  706----,     ----,  720X   , 2619----,  386----,  408----,     ----,   96----, 2094----,-----    ,-----    ,     ----,-----    
WK546,20240322084500:  150    ,     ----,  920----,  356----, 1000----,     ----,     ----,     ----, 1900----,  554    ,  638----,     ----,  588X   , 2135----,  358----,  416----,     ----,     ----, 1914----,-----    ,-----    ,     ----,-----    
WK546,20240322090000:  162    ,     ----,  870----,  380----, 1000----,     ----,     ----,     ----, 3280----,  706    ,  758----,     ----,  740X   , 2013----,  374----,  440----,     ----,     ----, 1946----,-----    ,-----    ,     ----,-----    
WK546,20240322091500:  194    ,     ----,  930----,  400----, 1000----,     ----,  528----,     ----, 2520----,  766    ,  846----,     ----,  832X   , 3330----,  394----,  460----,     ----,   96----, 2175----,-----    ,-----    ,     ----,-----    
WK546,20240322093000:  178    ,     ----,  930----,  396----,  980----,     ----,  528----,     ----, 2520----,  826    ,  890----,     ----,  896X   , 3081----,  406----,  456----,     ----,  120----, 2537----,-----    ,-----    ,     ----,-----    
WK546,20240322094500:  186    ,     ----,  930----,  396----,  980----,  413----,     ----,     ----, 2500----,  838    ,  922----,     ----,  920X   , 3252----,  406----,  456----,     ----,  120----, 2512----,-----    ,-----    ,     ----,-----F   
WK546,20240322100000:  182    ,     ----,  920----,  400----,  980----,     ----,     ----,     ----, 2240----,  830    ,  918----,     ----,  920X   , 3261----,  394----,  460----,     ----,  120----, 2410----,-----    ,-----    ,     ----,-----F   
WK546,20240322101500:  186    ,     ----,  920----,  392----,  980----,     ----,     ----,     ----, 2600----,  906    ,  962----,     ----,  968X   , 3200----,  410----,  452----,     ----,  108----, 2736----,-----    ,-----    ,     ----,-----    
WK546,20240322103000:  182    ,     ----,  930----,  324----, 1000----,     ----,     ----,     ----, 2280----,  946    , 1006----,     ----,  996X   , 2963----,  362----,  384----,     ----,   96----, 2892----,-----    ,-----    ,     ----,-----    
WK546,20240322104500:  190    ,     ----,  930----,  316----, 1000----,     ----,     ----,     ----, 2300----,  934    , 1022----,     ----, 1020X   , 3100----,  354----,  376----,     ----,  108----, 2865----,-----    ,-----    ,     ----,-----    
WK546,20240322110000:  162    ,     ----,  930----,  308----,  980----,     ----,     ----,     ----, 2240----,  938    ,  998----,     ----, 1020X   , 2688----,  350----,  368----,     ----,  120----, 3012----,-----    ,-----    ,     ----,-----    
WK546,20240322111500:  218    ,     ----,  930----,  320----, 1000----,     ----,     ----,     ----, 2220----,  982    , 1042----,     ----, 1044X   , 2832----,  362----,  380----,     ----,  108----, 2783----,-----    ,-----    ,     ----,-----    
WK546,20240322113000:  210    ,     ----,  930----,  300----, 1000----,     ----,     ----,     ----, 2480----, 1002    , 1070----,     ----, 1072X   , 2643----,  362----,  360----,     ----,  108----, 3251----,-----    ,-----    ,     ----,-----    
WK546,20240322114500:  206    ,     ----,  930----,  380----,  980----,     ----,     ----,     ----, 2280----, 1042    , 1078----,     ----, 1096X   , 2675----,  382----,  440----,     ----,  120----, 3302----,-----    ,-----    ,     ----,-----    
WK546,20240322120000:  202    ,     ----,  980----,  388----,  980----,  389----,     ----,     ----, 2300----, 1070    , 1114----,     ----, 1120X   , 3200----,  386----,  448----,     ----,  108----, 2913----,-----    ,-----    ,     ----,-----    
WK546,20240322121500:  190    ,     ----,  930----,  372----, 1000----,     ----,     ----,     ----, 2380----, 1086    , 1138----,     ----, 1156X   , 2742----,  374----,  432----,     ----,  132----, 3481----,-----    ,-----    ,     ----,-----    
WK546,20240322123000:  170    ,     ----,  930----,  320----,  980----,     ----,     ----,     ----, 2400----, 1106    , 1138----,     ----, 1168X   , 2873----,  346----,  380----,     ----,  132----, 3453----,-----    ,-----    ,     ----,-----F   
WK546,20240322124500:  218    ,     ----,  930----,  332----,  980----,     ----,     ----,     ----, 2300----, 1130    , 1158----,     ----, 1172X   , 2662----,  374----,  392----,     ----,   96----, 3616----,-----    ,-----    ,     ----,-----F   
WK546,20240322130000:  182    ,     ----,  930----,  332----, 1000----,     ----,     ----,     ----, 2320----, 1122    , 1150----,     ----, 1172X   , 2741----,  382----,  392----,     ----,   96----, 3568----,-----    ,-----    ,     ----,-----    
WK546,20240322131500:  182    ,     ----,  930----,  376----,  980----,     ----,     ----,     ----, 2340----, 1134    , 1174----,     ----, 1172X   , 2922----,  374----,  436----,     ----,   96----, 3533----,-----    ,-----    ,     ----,-----    
WK546,20240322133000:  182    ,     ----,  980----,  336----,  980----,     ----,     ----,     ----, 2340----, 1134    , 1170----,     ----, 1180X   , 2784----,  378----,  396----,     ----,  120----, 3618----,-----    ,-----    ,     ----,-----    
WK546,20240322134500:  194    ,     ----,  930----,  320----,  980----,     ----,     ----,     ----, 2280----, 1110    , 1146----,     ----, 1156X   , 2819----,  366----,  380----,     ----,  120----, 3490----,-----    ,-----    ,     ----,-----F   
WK546,20240322140000:  174    ,     ----,  930----,  368----,  980----,     ----,     ----,     ----, 2140----, 1102    , 1130----,     ----, 1144X   , 2287----,  358----,  428----,     ----,  108----, 3484----,-----    ,-----    ,     ----,-----    
WK546,20240322141500:  170    ,     ----,  870----,  292----, 1000----,     ----,     ----,     ----, 2140----, 1090    , 1122----,     ----, 1132X   , 2599----,  334----,  352----,     ----,  108----, 3435----,-----    ,-----    ,     ----,-----    
WK546,20240322143000:  178    ,     ----,  870----,  288----, 1000----,     ----,     ----,     ----, 2100----, 1058    , 1114----,     ----, 1108X   , 2461----,  346----,  348----,     ----,  108----, 3515----,-----    ,-----    ,     ----,-----    
WK546,20240322144500:  170    ,     ----,  870----,  348----, 1000----,     ----,     ----,     ----, 2140----, 1054    , 1086----,     ----, 1084X   , 2709----,  358----,  408----,     ----,   96----, 3252----,-----    ,-----    ,     ----,-----    
WK546,20240322150000:  154    ,     ----,  870----,  496----,  960----,  335----,     ----,     ----, 2100----, 1026    , 1086----,     ----, 1084X   , 2661----,  522----,  556----,     ----,   96----, 3228----,-----    ,-----    ,     ----,-----    
WK546,20240322151500:  150    ,     ----,  930----,  340----, 1000----,  327----,     ----, 2220----, 2240----, 1006    , 1030----,     ----, 1068X   , 2703----,  366----,  400----,     ----,   96----, 3246----,-----    ,-----    ,     ----,-----    
WK546,20240322153000:  142    ,     ----,  930----,  320----,  980----,     ----,     ----, 2240----, 2260----, 1014    , 1070----,     ----, 1056X   , 2572----,  326----,  380----,     ----,   84----, 3264----,-----    ,-----    ,     ----,-----    
WK546,20240322154500:  150    ,     ----,  930----,  300----, 1000----,     ----,     ----, 2160----, 2200----,  982    , 1018----,     ----, 1020X   , 2698----,  326----,  360----,     ----,   96----, 3053----,-----    ,-----    ,     ----,-----    
WK546,20240322160000:  150    ,     ----,  980----,  300----, 1000----,     ----,     ----, 2400----, 2080----,  950    ,  994----,     ----,  996X   , 2590----,  338----,  360----,     ----,   96----, 3116----,-----    ,-----    ,     ----,-----    
WK546,20240322161500:  142    ,     ----,  990----,  284----,  980----,     ----,     ----, 2320----, 2100----,  946    ,  982----,     ----,  996X   , 2596----,  310----,  344----,     ----,   96----, 2985----,-----    ,-----    ,     ----,-----    
WK546,20240322163000:  142    ,     ----, 1230----,  272----,  980----,     ----,     ----, 2400----, 2100----,  926    ,  986----,     ----,  972X   , 2606----,  246----,  332----,     ----,   96----, 3000----,-----    ,-----    ,     ----,-----    
WK546,20240322164500:  134    ,     ----,  930----,  256----,  980----,     ----,     ----, 2280----, 2080----,  906    ,  962----,     ----,  972X   , 2706----,  238----,  316----,     ----,  108----, 2976----,-----    ,-----    ,     ----,-----    
WK546,20240322170000:  150    ,     ----, 1040----,     ----,  980----,     ----,     ----, 2320----, 2180----,  918    ,  970----,     ----,  972X   , 2698----,  226----,     ----,     ----,   96----, 2938----,-----G   ,-----    ,     ----,-----    
WK546,20240322171500:  138    ,     ----,  900----,     ----,  980----,     ----,     ----, 2480----, 2200----,  930    ,  970----,     ----,  972X   , 2663----,  210----,     ----,     ----,  108----, 2959----,-----G   ,-----    ,     ----,-----    
WK546,20240322173000:  150    ,     ----,  920----,  200----,  980----,     ----,     ----, 2300----, 2180----,  894    ,  966----,     ----,  956X   , 2869----,  226----,  260----,     ----,  108----, 2990----,-----    ,-----    ,     ----,-----    
