#                       fmin  ,   foE   ,   h'E   ,   foEs  ,   h'Es  ,   fbEs  ,   foF1  ,   h'F   ,   h'F2  ,   foF2  ,   fxF2  ,   M3F2  ,   fxI   ,   hpF2  ,   fxEs  ,   ftEs  ,   fxF1  ,   FSPR  ,   MUF   ,   Es1   ,   Es2   ,   Es    ,   W     
WK546,20240323050000:  136    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 2560----,  610    ,  678----,     ----,  692X   , 3328----,     ----,     ----,     ----,  132----, 1728----,-----G   ,-----    ,     ----,-----    
WK546,20240323051500:  148    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 2500----,  634    ,  674----,     ----,  704X   , 3051----,     ----,     ----,     ----,  144----, 1814----,-----G   ,-----    ,     ----,-----    
WK546,20240323053000:  184    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 2360----,  658    ,  726----,     ----,  720X   , 2817----,     ----,     ----,     ----,  108----, 2077----,-----G   ,-----    ,     ----,-----    
WK546,20240323054500:  208    ,     ----, 1420----,     ----,     ----,     ----,     ----,     ----, 2220----,  674    ,  742----,     ----,  756X   , 2887----,     ----,     ----,     ----,   96----, 2120----,-----G   ,-----    ,     ----,-----    
WK546,20240323060000:  150    ,     ----, 1230----,  224----,  980----,     ----,     ----,     ----, 2240----,  702    ,  750----,     ----,  804X   , 2514----,  218----,  284----,     ----,  144----, 2359----,-----    ,-----    ,     ----,-----F   
WK546,20240323061500:  150    ,     ----, 1050----,  248----,  980----,     ----,     ----, 2660----, 2140----,  686    ,  754----,     ----,  820X   , 2924----,  238----,  308----,     ----, 9999----, 2248----,-----    ,-----    ,     ----,-----    
WK546,20240323063000:  158    ,     ----,  990----,  264----, 1000----,     ----,     ----, 2640----, 2260----,  750    ,  790----,     ----,  848X   , 2365----,  262----,  324----,     ----,  120----, 2520----,-----    ,-----    ,     ----,-----    
WK546,20240323064500:  166    ,     ----,  990----,  252----, 1020----,     ----,     ----, 2400----, 2240----,  774    ,  818----,     ----,  860X   , 2485----,  222----,  312----,     ----,  120----, 2570----,-----    ,-----    ,     ----,-----F   
WK546,20240323070000:  166    ,     ----, 1050----,  284----, 1020----,     ----,     ----, 2340----, 2140----,  794    ,  834----,     ----,  884X   , 3056----,  222----,  344----,     ----,   48----, 2518----,-----    ,-----    ,     ----,-----F   
WK546,20240323071500:  166    ,     ----,  930----,  292----, 1000----,     ----,     ----, 2320----, 2080----,  778    ,  862----,     ----,  896X   , 2997----,  222----,  352----,     ----,  120----, 2540----,-----    ,-----    ,     ----,-----    
WK546,20240323073000:  166    ,     ----,  930----,  288----, 1000----,     ----,     ----, 2560----, 2060----,  826    ,  918----,     ----,  932X   , 2943----,  226----,  348----,     ----,  120----, 2692----,-----    ,-----    ,     ----,-----    
WK546,20240323074500:  150    ,     ----,  870----,  300----, 1000----,     ----,     ----, 2460----, 2160----,  938    ,  958----,     ----,  920X   , 2619----,  326----,  360----,     ----,   60----, 3022----,-----    ,-----    ,     ----,-----    
WK546,20240323080000:  170    ,     ----,  930----,  292----, 1020----,     ----,     ----, 2360----, 2280----,  938    , 1014----,     ----, 1020X   , 2543----,  226----,  352----,     ----,  108----, 3063----,-----    ,-----    ,     ----,-----F   
WK546,20240323081500:  170    ,     ----,  930----,  268----,  960----,     ----,     ----, 2320----, 2260----,  942    ,  970----,     ----, 1020X   , 2678----,  270----,  328----,     ----,  132----, 2977----,-----    ,-----    ,     ----,-----    
WK546,20240323083000:  178    ,     ----,  990----,  280----, 1000----,     ----,     ----,     ----, 2100----,  978    , 1010----,     ----, 1032X   , 2739----,  322----,  340----,     ----,  132----, 2981----,-----    ,-----    ,     ----,-----    
WK546,20240323084500:  174    ,     ----,  930----,  292----, 1000----,     ----,     ----,     ----, 2220----, 1006    , 1018----,     ----, 1060X   , 2631----,  350----,  352----,     ----,   48----, 3174----,-----    ,-----    ,     ----,-----    
WK546,20240323090000:  178    ,     ----,  930----,  300----,  960----,     ----,     ----,     ----, 2280----, 1030    , 1058----,     ----, 1072X   , 2657----,  298----,  360----,     ----,  120----, 3256----,-----    ,-----    ,     ----,-----    
WK546,20240323091500:  182    ,     ----,  930----,  296----,  960----,     ----,     ----,     ----, 2400----, 1050    , 1110----,     ----, 1120X   , 3458----,  302----,  356----,     ----,  120----, 2908----,-----    ,-----    ,     ----,-----    
WK546,20240323093000:  182    ,     ----,  930----,  308----,  980----,     ----,     ----,     ----, 2460----, 1098    , 1138----,     ----, 1160X   , 2985----,  362----,  368----,     ----,  132----, 3547----,-----    ,-----    ,     ----,-----F   
WK546,20240323094500:  194    ,     ----,  930----,  300----,  980----,     ----,     ----,     ----, 2460----, 1110    , 1158----,     ----, 1168X   , 2825----,  338----,  360----,     ----,  120----, 3411----,-----    ,-----    ,     ----,-----    
WK546,20240323100000:  202    ,     ----, 1110----,  304----, 1000----,     ----,     ----,     ----, 2280----, 1062    , 1114----,     ----, 1172X   , 3340----,  366----,  364----,     ----,  132----, 3270----,-----    ,-----    ,     ----,-----    
WK546,20240323101500:  404    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 2400----, 1062    , 1102----,     ----, 1160X   , 3103----,     ----,     ----,     ----,  132----, 3221----,-----G   ,-----    ,     ----,-----    
WK546,20240323103000:  504    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 2340----, 1038    , 1154----,     ----, 1156X   , 2793----,     ----,     ----,     ----,  120----, 3441----,-----G   ,-----    ,     ----,-----    
WK546,20240323104500:  504    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 2360----, 1038    , 1130----,     ----, 1132X   , 2799----,     ----,     ----,     ----,  120----, 3390----,-----G   ,-----    ,     ----,-----    
WK546,20240323110000:  492    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 2280----, 1062    , 1134----,     ----, 1132X   , 2699----,     ----,     ----,     ----,   96----, 3401----,-----G   ,-----    ,     ----,-----    
WK546,20240323111500:  492    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 2440----, 1082    , 1150----,     ----, 1144X   , 2834----,     ----,     ----,     ----,   96----, 3420----,-----G   ,-----    ,     ----,-----    
WK546,20240323113000:  452    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 2460----, 1090    , 1162----,     ----, 1156X   ,     ----,     ----,     ----,     ----,   96----,     ----,-----G   ,-----    ,     ----,-----F   
WK546,20240323114500:  332    ,     ----,  980----,     ----,     ----,     ----,     ----,     ----, 2480----, 1090    , 1150----,     ----, 1156X   , 2816----,     ----,     ----,     ----,   96----, 3477----,-----G   ,-----    ,     ----,-----    
WK546,20240323120000:  428    ,     ----, 1080----,     ----,     ----,     ----,     ----,     ----, 2440----, 1070    , 1134----,     ----, 1156X   , 2801----,     ----,     ----,     ----,  120----, 3333----,-----G   ,-----    ,     ----,-----    
WK546,20240323121500:  194    ,     ----,  940----,  312----,  960----,     ----,     ----,     ----, 2280----, 1078    , 1122----,     ----, 1144X   , 2997----,  358----,  372----,     ----,  108----, 3334----,-----    ,-----    ,     ----,-----    
WK546,20240323123000:  222    ,     ----,  930----,  312----,  980----,     ----,     ----,     ----, 2460----, 1086    , 1150----,     ----, 1156X   , 3056----,  362----,  372----,     ----,  108----, 3202----,-----    ,-----    ,     ----,-----    
WK546,20240323124500:  230    ,     ----,  980----,  340----,  980----,     ----,     ----,     ----, 2520----, 1126    , 1174----,     ----, 1172X   , 3482----,  370----,  400----,     ----,   96----, 3209----,-----    ,-----    ,     ----,-----F   
WK546,20240323130000:  214    ,     ----, 1040----,  412----,  960----,  416----,     ----,     ----, 2440----, 1102    , 1170----,     ----, 1168X   , 2701----,  418----,  472----,     ----,   96----, 3303----,-----    ,-----    ,     ----,-----F   
WK546,20240323131500:  234    ,     ----,  980----,  312----,  980----,     ----,     ----,     ----, 2400----, 1094    , 1134----,     ----, 1168X   , 3062----,  374----,  372----,     ----,  120----, 3241----,-----    ,-----    ,     ----,-----    
WK546,20240323133000:  202    ,     ----,  930----,  380----,  980----,     ----,     ----,     ----, 2500----, 1126    , 1182----,     ----, 1172X   , 3110----,  370----,  440----,     ----,   96----, 3382----,-----    ,-----    ,     ----,-----F   
WK546,20240323134500:  210    ,     ----,  930----,  372----,  980----,     ----,     ----,     ----, 2280----, 1114    , 1162----,     ----, 1172X   , 2966----,  366----,  432----,     ----,   96----, 3454----,-----    ,-----    ,     ----,-----    
WK546,20240323140000:  198    ,     ----,  930----,  320----,  980----,     ----,     ----,     ----, 2260----, 1090    , 1122----,     ----, 1156X   , 2978----,  346----,  380----,     ----,  120----, 3246----,-----    ,-----    ,     ----,-----    
WK546,20240323141500:  190    ,     ----,  930----,  316----, 1000----,     ----,     ----,     ----, 2240----, 1078    , 1098----,     ----, 1132X   , 3041----,  342----,  376----,     ----,  120----, 3119----,-----    ,-----    ,     ----,-----    
WK546,20240323143000:  182    ,     ----,  930----,  308----,  980----,     ----,     ----,     ----, 2140----, 1054    , 1098----,     ----, 1120X   , 3141----,  354----,  368----,     ----,   96----, 3180----,-----    ,-----    ,     ----,-----    
WK546,20240323144500:  174    ,     ----,  930----,  372----, 1000----,     ----,     ----,     ----, 2220----, 1070    , 1102----,     ----, 1116X   , 2812----,  378----,  432----,     ----,  120----, 3235----,-----    ,-----    ,     ----,-----    
WK546,20240323150000:  162    ,     ----,  930----,  348----,  980----,     ----,     ----,     ----, 2180----, 1042    , 1090----,     ----, 1096X   , 3157----,  374----,  408----,     ----,  120----, 3012----,-----    ,-----    ,     ----,-----F   
WK546,20240323151500:  170    ,     ----,  930----,  280----, 1000----,     ----,     ----, 2560----, 2400----, 1018    , 1098----,     ----, 1108X   , 2944----,  326----,  340----,     ----,  120----, 3149----,-----    ,-----    ,     ----,-----    
WK546,20240323153000:  158    ,     ----,  990----,  356----, 1000----,  309----,     ----, 2500----, 2420----, 1038    , 1102----,     ----, 1116X   , 3172----,  374----,  416----,     ----,   84----, 3106----,-----    ,-----    ,     ----,-----    
WK546,20240323154500:  154    ,     ----,  980----,  348----, 1000----,     ----,     ----, 2560----, 2240----, 1074    , 1130----,     ----, 1120X   , 3097----,  366----,  408----,     ----,   96----, 3209----,-----    ,-----    ,     ----,-----    
WK546,20240323160000:  142    ,     ----,  930----,  348----, 1000----,  331----,     ----, 2640----, 2360----, 1054    , 1086----,     ----, 1120X   , 2739----,  358----,  408----,     ----,  108----, 3265----,-----    ,-----    ,     ----,-----    
WK546,20240323161500:  162    ,     ----, 1040----,  272----, 1000----,     ----,     ----, 2360----, 2340----, 1034    , 1046----,     ----, 1120X   , 2837----,  334----,  332----,     ----,  120----, 3240----,-----    ,-----    ,     ----,-----F   
WK546,20240323163000:  150    ,     ----,  930----,  312----,  980----,     ----,     ----, 2400----, 2360----, 1062    , 1102----,     ----, 1120X   , 2998----,  330----,  372----,     ----,  132----, 3148----,-----    ,-----    ,     ----,-----    
WK546,20240323164500:  162    ,     ----, 1040----,  212----, 1000----,     ----,     ----, 2320----, 2340----, 1054    , 1050----,     ----, 1120X   , 2990----,  222----,  272----,     ----,   96----, 3232----,-----    ,-----    ,     ----,-----    
WK546,20240323170000:  162    ,     ----, 1040----,  196----, 1000----,     ----,     ----, 2360----, 2360----, 1046    , 1066----,     ----, 1120X   , 2894----,  218----,  256----,     ----,   96----, 3265----,-----    ,-----    ,     ----,-----F   
WK546,20240323171500:  150    ,     ----, 1080----,     ----,  980----,     ----,     ----, 2480----, 2460----, 1042    , 1098----,     ----, 1132X   , 2988----,  218----,     ----,     ----,  120----, 3297----,-----G   ,-----    ,     ----,-----    
WK546,20240323173000:  158    ,     ----,     ----,     ----,  960----,     ----,     ----, 2320----, 2340----, 1046    , 1126----,     ----, 1116X   , 2844----,  230----,     ----,     ----,   96----, 3288----,-----G   ,-----    ,     ----,-----    
WK546,20240323174500:  184    ,     ----,     ----,     ----,     ----,     ----,     ----, 2380----, 2420----, 1082    , 1078----,     ----, 1108X   , 2796----,     ----,     ----,     ----,  108----, 3325----,-----G   ,-----    ,     ----,-----    
WK546,20240323180000:  162    ,     ----,     ----,     ----,  960----,     ----,     ----, 2480----, 2420----, 1026    , 1126----,     ----, 1092X   , 2791----,  242----,     ----,     ----,   96----, 3253----,-----G   ,-----    ,     ----,-----    
WK546,20240323181500:  154    ,     ----,     ----,     ----,  960----,     ----,     ----, 2780----, 2340----, 1014    , 1098----,     ----, 1080X   , 2875----,  234----,     ----,     ----,  108----, 3112----,-----G   ,-----    ,     ----,-----F   
WK546,20240323183000:  136    ,     ----,     ----,     ----,     ----,     ----,     ----, 2740----, 2180----, 1006    , 1046----,     ----, 1068X   , 2983----,     ----,     ----,     ----,   48----, 3096----,-----G   ,-----    ,     ----,-----    
WK546,20240323184500:  158    ,     ----,     ----,     ----,  980----,     ----,     ----, 2320----, 2260----,  970    , 1010----,     ----, 1028X   , 3380----,  226----,     ----,     ----,  156----, 2766----,-----G   ,-----    ,     ----,-----    
WK546,20240323190000:  154    ,     ----,     ----,     ----,  960----,     ----,     ----, 2560----, 2280----,  910    ,  966----,     ----,  944X   , 2749----,  214----,     ----,     ----,   72----, 2817----,-----G   ,-----    ,     ----,-----F   
WK546,20240323191500:  162    ,     ----,     ----,     ----,  960----,     ----,     ----,     ----, 2260----,  854    ,  942----,     ----,  920X   , 2803----,  222----,     ----,     ----,  108----, 2662----,-----G   ,-----    ,     ----,-----F   
WK546,20240323193000:  154    ,     ----, 1040----,  236----,  980----,     ----,     ----, 2660----, 2440----,  830    ,  906----,     ----,  908X   , 3103----,  254----,  296----,     ----,     ----, 2531----,-----    ,-----    ,     ----,-----F   
WK546,20240323194500:  146    ,     ----, 1040----,  296----,  980----,     ----,     ----,     ----, 2400----,  830    ,  942----,     ----,  920X   , 3119----,  322----,  356----,     ----,  120----, 2567----,-----    ,-----    ,     ----,-----F   
WK546,20240323200000:  166    ,     ----,  900----,  228----,  960----,     ----,     ----, 2560----, 2320----,  802    ,  854----,     ----,  868X   , 3005----,  222----,  288----,     ----,   96----, 2437----,-----    ,-----    ,     ----,-----    
WK546,20240323201500:  158    ,     ----,  920----,     ----,  980----,     ----,     ----,     ----, 2260----,  738    ,  782----,     ----,  840X   , 2572----,  238----,     ----,     ----,   48----, 2142----,-----G   ,-----    ,     ----,-----    
WK546,20240323203000:  162    ,     ----,  920----,     ----,  980----,     ----,     ----,     ----, 2460----,  698    ,  754----,     ----,  768X   , 2796----,  222----,     ----,     ----,  108----, 2020----,-----G   ,-----    ,     ----,-----    
WK546,20240323204500:  158    ,     ----,     ----,     ----,  980----,     ----,     ----, 2960----, 2560----,  698    ,  750----,     ----,  804X   , 3144----,  230----,     ----,     ----,   96----, 1942----,-----G   ,-----    ,     ----,-----    
WK546,20240323210000:  154    ,     ----,  860----,  188----,  960----,     ----,     ----, 3600----, 2600----,  682    ,  742----,     ----,  708X   , 3100----,  214----,  248----,     ----,   48----, 1863----,-----    ,-----    ,     ----,-----    
WK546,20240323211500:  158    ,     ----,     ----,     ----,  960----,     ----,     ----,     ----, 2580----,  642    ,  714----,     ----,  732X   , 3199----,  246----,     ----,     ----,   72----, 1923----,-----G   ,-----    ,     ----,-----    
WK546,20240323213000:  158    ,     ----,     ----,     ----,  960----,     ----,     ----,     ----, 2700----,  666    ,  710----,     ----,  708X   , 2787----,  250----,     ----,     ----,     ----, 1769----,-----G   ,-----    ,     ----,-----    
WK546,20240323214500:  158    ,     ----,     ----,     ----,  960----,     ----,     ----,     ----, 2720----,  638    ,  714----,     ----,  732X   , 3553----,  234----,     ----,     ----,   72----, 1889----,-----G   ,-----    ,     ----,-----    
WK546,20240323220000:  162    ,     ----,     ----,     ----,  960----,     ----,     ----,     ----, 2820----,  638    ,  686----,     ----,  732X   , 3535----,  246----,     ----,     ----,   72----, 1855----,-----G   ,-----    ,     ----,-----    
WK546,20240323221500:  158    ,     ----,     ----,     ----,  940----,     ----,     ----,     ----, 2900----,  642    ,  710----,     ----,  708X   , 3533----,  246----,     ----,     ----,   48----, 1783----,-----G   ,-----    ,     ----,-----    
WK546,20240323223000:  154    ,     ----,     ----,     ----,  960----,     ----,     ----,     ----, 3020----,  670    ,  710----,     ----,  708X   , 3305----,  234----,     ----,     ----,   48----, 1824----,-----G   ,-----    ,     ----,-----    
WK546,20240323224500:  154    ,     ----,     ----,     ----,  960----,     ----,     ----,     ----, 2740----,  646    ,  706----,     ----,  720X   , 3520----,  226----,     ----,     ----,   48----, 1832----,-----G   ,-----    ,     ----,-----F   
WK546,20240323230000:  162    ,     ----,     ----,     ----,  960----,     ----,     ----,     ----, 2760----,  658    ,  710----,     ----,  720X   , 3217----,  262----,     ----,     ----,   60----, 1828----,-----G   ,-----    ,     ----,-----    
WK546,20240323231500:  154    ,     ----,     ----,     ----,  960----,     ----,     ----,     ----, 2780----,  618    ,  690----,     ----,  708X   , 3659----,  230----,     ----,     ----,   48----, 1815----,-----G   ,-----    ,     ----,-----    
WK546,20240323233000:  146    ,     ----,     ----,     ----,  960----,     ----,     ----,     ----, 2800----,  602    ,  646----,     ----,  600X   , 3366----,  222----,     ----,     ----,   72----, 1738----,-----G   ,-----    ,     ----,-----    
WK546,20240323234500:  136    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 2840----,  610    ,  678----,     ----,  636X   , 3301----,     ----,     ----,     ----,  108----, 1765----,-----G   ,-----    ,     ----,-----    
#                       fmin  ,   foE   ,   h'E   ,   foEs  ,   h'Es  ,   fbEs  ,   foF1  ,   h'F   ,   h'F2  ,   foF2  ,   fxF2  ,   M3F2  ,   fxI   ,   hpF2  ,   fxEs  ,   ftEs  ,   fxF1  ,   FSPR  ,   MUF   ,   Es1   ,   Es2   ,   Es    ,   W     
WK546,20240324000000:  136    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 2900----,  606    ,  666----,     ----,  600X   , 3164----,     ----,     ----,     ----,   96----, 1671----,-----G   ,-----    ,     ----,-----    
WK546,20240324001500:  136    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 3020----,  622    ,  650----,     ----,  708X   , 3350----,     ----,     ----,     ----,  180----, 1566----,-----G   ,-----    ,     ----,-----    
WK546,20240324003000:  136    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 3080----,  594    ,  646----,     ----,  600X   , 2214----,     ----,     ----,     ----,   96----, 1917----,-----G   ,-----    ,     ----,-----    
WK546,20240324004500:  162    ,     ----,     ----,     ----,  940----,     ----,     ----,     ----, 3020----,  610    ,  626----,     ----,  596X   , 3404----,  250----,     ----,     ----,   96----, 1565----,-----G   ,-----    ,     ----,-----    
WK546,20240324010000:  154    ,     ----,     ----,     ----,  960----,     ----,     ----,     ----, 3020----,  614    ,  646----,     ----,  596X   , 3245----,  222----,     ----,     ----,   36----, 1683----,-----G   ,-----    ,     ----,-----    
WK546,20240324011500:  162    ,     ----,  960----,     ----,  980----,     ----,     ----,     ----, 2800----,  570    ,  626----,     ----,  632X   , 3590----,  230----,     ----,     ----,  108----, 1456----,-----G   ,-----    ,     ----,-----    
WK546,20240324013000:  158    ,     ----,     ----,     ----,  980----,     ----,     ----,     ----, 2980----,  554    ,  618----,     ----,  596X   , 3878----,  226----,     ----,     ----,   96----, 1515----,-----G   ,-----    ,     ----,-----    
WK546,20240324014500:  136    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 3200----,  550    ,  622----,     ----,  596X   , 3962----,     ----,     ----,     ----, 9999----, 1439----,-----G   ,-----    ,     ----,-----    
WK546,20240324020000:  136    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 3380----,  538    ,  618----,     ----,  604X   , 4106----,     ----,     ----,     ----,   96----, 1415----,-----G   ,-----    ,     ----,-----    
WK546,20240324021500:  136    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 3320----,  538    ,  598----,     ----,  596X   , 4080----,     ----,     ----,     ----, 9999----, 1385----,-----G   ,-----    ,     ----,-----F   
WK546,20240324023000:  136    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 3660----,  542    ,  598----,     ----,  596X   , 3834----,     ----,     ----,     ----, 9999----, 1183----,-----G   ,-----    ,     ----,-----F   
WK546,20240324024500:  136    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 3540----,  522    ,  606----,     ----,  596X   ,     ----,     ----,     ----,     ----,   72----,     ----,-----G   ,-----    ,     ----,-----    
WK546,20240324030000:  136    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 3280----,  542    ,  610----,     ----,  596X   , 3765----,     ----,     ----,     ----, 9999----, 1423----,-----G   ,-----    ,     ----,-----    
WK546,20240324031500:  136    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 3220----,  562    ,  642----,     ----,  596X   , 3823----,     ----,     ----,     ----,   72----, 1446----,-----G   ,-----    ,     ----,-----    
WK546,20240324033000:  136    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 3120----,  582    ,  658----,     ----,  598X   , 3810----,     ----,     ----,     ----,     ----, 1534----,-----G   ,-----    ,     ----,-----    
WK546,20240324034500:  136    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 3100----,  602    ,  658----,     ----,  596X   , 3593----,     ----,     ----,     ----,   84----, 1603----,-----G   ,-----    ,     ----,-----    
WK546,20240324040000:  136    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 3120----,  602    ,  666----,     ----,  692X   ,     ----,     ----,     ----,     ----,   72----,     ----,-----G   ,-----    ,     ----,-----    
WK546,20240324041500:  136    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 3100----,  594    ,  654----,     ----,  600X   , 3741----,     ----,     ----,     ----, 9999----, 1403----,-----G   ,-----    ,     ----,-----    
WK546,20240324043000:  146    ,     ----,     ----,     ----,  980----,     ----,     ----,     ----, 3100----,  614    ,  694----,     ----,  600X   , 2398----,  354----,     ----,     ----,   96----, 1853----,-----G   ,-----    ,     ----,-----    
WK546,20240324044500:  136    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 2780----,  618    ,  410----,     ----,  708X   , 3701----,     ----,     ----,     ----,   48----, 1791----,-----G   ,-----    ,     ----,-----    
WK546,20240324050000:  136    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 2640----,  638    ,  710----,     ----,  732X   , 3631----,     ----,     ----,     ----,  108----, 1613----,-----G   ,-----    ,     ----,-----    
WK546,20240324051500:  162    ,     ----,  900----,  236----,  960----,     ----,     ----,     ----, 2440----,  638    ,  738----,     ----,  756X   , 3070----,  366----,  296----,     ----,   84----, 1959----,-----    ,-----    ,     ----,-----    
WK546,20240324053000:  172    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 2280----,  678    ,  758----,     ----,  708X   , 2929----,     ----,     ----,     ----,   48----, 1993----,-----G   ,-----    ,     ----,-----    
WK546,20240324054500:  208    ,     ----, 1320----,     ----,     ----,     ----,     ----,     ----, 2240----,  682    ,  726----,     ----,  708X   , 2638----,     ----,     ----,     ----,   48----, 2216----,-----G   ,-----    ,     ----,-----F   
WK546,20240324060000:  148    ,     ----, 1280----,     ----,     ----,     ----,     ----,     ----, 2240----,  670    ,  738----,     ----,  708X   , 2450----,     ----,     ----,     ----,   48----, 1886----,-----G   ,-----    ,     ----,-----    
WK546,20240324061500:  154    ,     ----, 1350----,  268----,  980----,     ----,     ----,     ----, 2240----,  718    ,  762----,     ----,  816X   , 2750----,  234----,  328----,     ----,  120----, 2255----,-----    ,-----    ,     ----,-----    
WK546,20240324063000:  162    ,     ----, 1040----, 1444----,  980----,     ----,     ----,     ----, 2180----,  734    ,  802----,     ----,  844X   , 2521----,  258----, 1504----,     ----,   48----, 2472----,-----    ,-----    ,     ----,-----    
WK546,20240324064500:  166    ,     ----,  990----,  292----, 1020----,     ----,     ----,     ----, 2160----,  706    ,  758----,     ----,  804X   , 2483----,  218----,  352----,     ----,  144----, 2350----,-----    ,-----    ,     ----,-----    
WK546,20240324070000:  162    ,     ----, 1350----,  264----, 1020----,     ----,     ----, 3140----, 2140----,  714    ,  758----,     ----,  844X   , 2486----,  218----,  324----,     ----,   48----, 2368----,-----    ,-----    ,     ----,-----    
WK546,20240324071500:  170    ,     ----,  990----,  228----, 1000----,     ----,     ----, 2880----, 2240----,  762    ,  798----,     ----,  860X   , 2517----,  222----,  288----,     ----,   48----, 2467----,-----    ,-----    ,     ----,-----F   
WK546,20240324073000:  166    ,     ----, 1170----,  288----, 1000----,     ----,     ----,     ----, 2040----,  682    ,  738----,     ----,  804X   , 1200----,  222----,  348----,     ----,  144----,  100----,-----    ,-----    ,     ----,-----    
WK546,20240324074500:  162    ,     ----, 1230----,  292----, 1000----,     ----,     ----,     ----, 2000----,  654    ,  734----,     ----,  808X   , 3389----,  222----,  352----,     ----,  132----, 2049----,-----    ,-----    ,     ----,-----    
WK546,20240324080000:  166    ,     ----, 1050----,  248----,  960----,     ----,     ----,     ----, 2000----,  798    ,  894----,     ----,  884X   , 3308----,  262----,  308----,     ----,   48----, 2380----,-----    ,-----    ,     ----,-----F   
WK546,20240324081500:  166    ,     ----, 1230----,  284----,  980----,     ----,     ----, 2560----, 2000----,  814    ,  902----,     ----,  896X   , 2741----,  274----,  344----,     ----,  108----, 2674----,-----    ,-----    ,     ----,-----    
WK546,20240324083000:  154    ,     ----,  930----,  308----,  980----,     ----,     ----,     ----, 2020----,  746    ,  798----,     ----,  856X   , 2363----,  342----,  368----,     ----,  132----, 2560----,-----    ,-----    ,     ----,-----F   
WK546,20240324084500:  182    ,     ----,  930----,  312----,  960----,     ----,     ----,     ----, 1940----,  690    ,  746----,     ----,  808X   , 2683----,  294----,  372----,     ----,  144----, 2346----,-----    ,-----    ,     ----,-----F   
WK546,20240324090000:  206    ,     ----,  930----,  324----, 1000----,     ----,     ----,     ----, 1960----,  674    ,  730----,     ----,  780X   , 2826----,  354----,  384----,     ----,  120----, 2141----,-----    ,-----    ,     ----,-----    
WK546,20240324091500:  194    ,     ----,  930----,  388----,  980----,     ----,     ----,     ----, 2060----,  786    ,  862----,     ----,  860X   , 3250----,  418----,  448----,     ----,   48----, 2318----,-----    ,-----    ,     ----,-----    
WK546,20240324093000:  194    ,     ----,  980----,  396----, 1000----,     ----,     ----,     ----, 2240----,  762    ,  834----,     ----,  892X   , 2958----,  394----,  456----,     ----,  132----, 2413----,-----    ,-----    ,     ----,-----    
WK546,20240324094500:  190    ,     ----,  930----,  332----, 1000----,     ----,     ----,     ----, 2380----,  822    ,  906----,     ----,  896X   , 3014----,  378----,  392----,     ----,   96----, 2555----,-----    ,-----    ,     ----,-----    
WK546,20240324100000:  206    ,     ----,  930----,  328----, 1000----,     ----,     ----,     ----, 2340----,  862    ,  930----,     ----,  932X   , 2981----,  370----,  388----,     ----,  120----, 2544----,-----    ,-----    ,     ----,-----F   
WK546,20240324101500:  186    ,     ----,  990----,  300----,  980----,     ----,     ----,     ----, 2280----,  894    ,  966----,     ----,  968X   , 2785----,  342----,  360----,     ----,  132----, 2861----,-----    ,-----    ,     ----,-----F   
WK546,20240324103000:  436    ,     ----, 1000----,  268----,  970----,     ----,     ----,     ----, 2340----,  914    ,  978----,     ----,  984X   , 2664----,  328----,  328----,     ----,  132----, 2939----,-----    ,-----    ,     ----,-----    
WK546,20240324104500:  202    ,     ----,  930----,  308----,  980----,     ----,     ----,     ----, 2280----,  854    ,  950----,     ----,  972X   , 2554----,  354----,  368----,     ----,  132----, 2918----,-----    ,-----    ,     ----,-----    
WK546,20240324110000:  392    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 2300----,  834    ,  954----,     ----,  972X   , 2781----,     ----,     ----,     ----,  132----, 2762----,-----G   ,-----    ,     ----,-----F   
