#                       fmin  ,   foE   ,   h'E   ,   foEs  ,   h'Es  ,   fbEs  ,   foF1  ,   h'F   ,   h'F2  ,   foF2  ,   fxF2  ,   M3F2  ,   fxI   ,   hpF2  ,   fxEs  ,   ftEs  ,   fxF1  ,   FSPR  ,   MUF   ,   Es1   ,   Es2   ,   Es    ,   W     
TO536,20240323050000:  170    ,     ----,  900----,  170----,  980----,  170----,     ----, 2620----,     ----,  554    ,  602----,     ----,  554X   , 2984----,  230----,     ----,     ----,   84----, 1327----,-----G   ,-----    ,     ----,-----    
TO536,20240323051500:  166    ,     ----,  920----,  170----,  980----,  170----,     ----, 2560----,     ----,  578    ,  626----,     ----,  578X   , 3238----,  230----,  228----,     ----,   96----, 1630----,-----    ,-----    ,     ----,-----    
TO536,20240323053000:  170    ,     ----,  920----,  170----,  980----,  170----,     ----, 2460----,     ----,  590    ,  658----,     ----,  590X   , 3111----,  230----,  228----,     ----,   85----, 1773----,-----    ,-----    ,     ----,-----    
TO536,20240323054500:  170    ,     ----,  920----,  194----,  980----,  194----,     ----, 2280----,     ----,  678    ,  718----,     ----,  678X   , 2742----,  254----,     ----,     ----,   35----, 2142----,-----G   ,-----    ,     ----,-----    
TO536,20240323060000:  166    ,  294----, 1460----,  234----, 1390----,  234----,     ----, 2100----,     ----,  726    ,  806----,     ----,  726X   , 2493----,  294----,  290----,     ----,     ----, 2393----,-----    ,-----    ,     ----,-----    
TO536,20240323061500:  174    ,  250----, 1240----,  190----, 1270----,  190----,     ----, 2000----,     ----,  790    ,  854----,     ----,  790X   , 2350----,  250----,  247----,     ----,   96----, 2716----,-----    ,-----    ,     ----,-----    
TO536,20240323063000:  174    ,  238----, 1000----,  202----,  980----,  202----,     ----, 2020----,     ----,  838    ,  890----,     ----,  838X   , 2452----,  262----,     ----,     ----,   84----, 2904----,-----G   ,-----    ,     ----,-----    
TO536,20240323064500:  178    ,  246----, 1110----,  186----,  980----,  186----,     ----, 2040----,     ----,  894    ,  894----,     ----,  894X   , 2448----,  246----,  239----,     ----,  108----, 3063----,-----    ,-----    ,     ----,-----    
TO536,20240323070000:  162    ,     ----,  930----,  282----,  980----,  282----,     ----, 2080----,     ----,  946    , 1022----,     ----,  946X   , 2339----,  342----,  333----,     ----,   85----, 3262----,-----    ,-----    ,     ----,-----    
TO536,20240323071500:  202    ,  274----,  980----,  214----,  960----,  214----,     ----, 2080----,     ----,  990    , 1058----,     ----,  990X   , 2346----,  274----,  272----,     ----,   96----, 3494----,-----    ,-----    ,     ----,-----    
TO536,20240323073000:  202    ,     ----, 1040----,  238----,  820----,  238----,     ----, 2060----,     ----, 1006    , 1074----,     ----, 1006X   , 2434----,  298----,  300----,     ----,     ----, 3500----,-----    ,-----    ,     ----,-----    
TO536,20240323074500:  186    ,     ----,  980----,  250----,  820----,  250----,     ----, 2040----,     ----, 1006    , 1070----,     ----, 1006X   , 2233----,  310----,  311----,     ----,   96----, 3647----,-----    ,-----    ,     ----,-----    
TO536,20240323080000:  190    ,     ----,  920----,  258----,  800----,  258----,     ----, 2040----,     ----, 1018    , 1086----,     ----, 1018X   , 2454----,  318----,  311----,     ----,   83----, 3506----,-----    ,-----    ,     ----,-----    
TO536,20240323081500:  202    ,     ----,  980----,  270----,  960----,  270----,     ----, 2060----,     ----, 1038    , 1074----,     ----, 1038X   , 2342----,  330----,  325----,     ----,   96----, 3305----,-----    ,-----    ,     ----,-----    
TO536,20240323083000:  246    ,     ----,  980----,  274----,  980----,  274----,     ----, 2040----, 2140----, 1070    , 1130----,     ----, 1070X   , 2383----,  334----,     ----,     ----,   84----, 3500----,-----G   ,-----    ,     ----,-----    
TO536,20240323084500:  242    ,  378----,  980----,  326----,  980----,  326----,     ----, 2120----, 2220----, 1126    , 1166----,     ----, 1126X   , 2705----,  386----,  352----,     ----,   84----, 3694----,-----    ,-----    ,     ----,-----    
TO536,20240323090000:  254    ,     ----,  930----,  346----,  980----,  346----,     ----, 2200----, 2200----, 1154    , 1206----,     ----, 1154X   , 2706----,  406----,  407----,     ----,  108----, 3917----,-----    ,-----    ,     ----,-----    
TO536,20240323091500:  290    ,  378----,     ----,  318----,     ----,  318----,     ----, 2100----, 2220----, 1158    , 1150----,     ----, 1158X   , 2457----,  378----,     ----,     ----,   96----, 3962----,-----G   ,-----    ,     ----,-----    
TO536,20240323093000:  470    ,     ----,     ----,  470----,     ----,  470----,     ----, 2100----, 2180----, 1154    , 1206----,     ----, 1154X   , 2595----,     ----,     ----,     ----,   84----, 3836----,-----G   ,-----    ,     ----,-----    
TO536,20240323094500:  474    ,     ----,     ----,  474----,     ----,  474----,     ----, 2180----, 2140----, 1122    , 1190----,     ----, 1122X   , 2597----,     ----,     ----,     ----,   83----, 3633----,-----G   ,-----    ,     ----,-----    
TO536,20240323100000:  350    ,     ----, 1020----,  322----,     ----,  322----,     ----, 2040----, 2140----, 1122    , 1158----,     ----, 1122X   , 2793----,  382----,     ----,     ----,   84----, 3485----,-----G   ,-----    ,     ----,-----    
TO536,20240323101500:  562    ,     ----,     ----,  562----,     ----,  562----,     ----, 2280----, 2220----, 1158    , 1222----,     ----, 1158X   , 3135----,     ----,     ----,     ----,   96----, 3425----,-----G   ,-----    ,     ----,-----    
TO536,20240323103000:  698    ,     ----,     ----,  698----,     ----,  698----,     ----, 2640----, 2580----, 1206    , 1262----,     ----, 1206X   , 3031----,     ----,     ----,     ----,   84----, 3673----,-----G   ,-----    ,     ----,-----    
TO536,20240323104500:  634    ,     ----,     ----,  634----,     ----,  634----,     ----, 2460----, 2460----, 1214    , 1262----,     ----, 1214X   , 3191----,     ----,     ----,     ----,   96----, 3668----,-----G   ,-----    ,     ----,-----    
TO536,20240323110000:  634    ,     ----,     ----,  634----,     ----,  634----,     ----, 2420----, 2380----, 1226    , 1274----,     ----, 1226X   , 2993----,     ----,     ----,     ----,   84----, 3616----,-----G   ,-----    ,     ----,-----    
TO536,20240323111500:  606    ,     ----,     ----,  606----,     ----,  606----,     ----, 2440----, 2400----, 1234    , 1294----,     ----, 1234X   , 3036----,     ----,     ----,     ----,  108----, 3703----,-----G   ,-----    ,     ----,-----    
TO536,20240323113000:  574    ,     ----,     ----,  574----,     ----,  574----,     ----, 2420----,     ----, 1242    , 1302----,     ----, 1242    ,     ----,     ----,     ----,     ----,     ----,     ----,-----    ,-----    ,     ----,-----    
TO536,20240323114500:  518    ,     ----,     ----,  518----,     ----,  518----,     ----, 2360----, 2400----, 1250    , 1322----,     ----, 1250X   , 3108----,     ----,     ----,     ----,  108----, 3708----,-----G   ,-----    ,     ----,-----    
TO536,20240323120000:  602    ,     ----,     ----,  602----,     ----,  602----,     ----, 2500----, 2860----, 1230    , 1286----,     ----, 1230X   , 2994----,     ----,     ----,     ----,     ----, 3702----,-----G   ,-----    ,     ----,-----F   
TO536,20240323121500:  538    ,     ----,     ----,  538----,     ----,  538----,     ----, 2360----, 2360----, 1234    , 1298----,     ----, 1234X   , 3117----,     ----,     ----,     ----,     ----, 3672----,-----G   ,-----    ,     ----,-----    
TO536,20240323123000:  602    ,     ----,     ----,  602----,     ----,  602----,     ----, 2540----, 2960----, 1246    , 1310----,     ----, 1246X   , 3073----,     ----,     ----,     ----, 9999----, 3530----,-----G   ,-----    ,     ----,-----    
TO536,20240323124500:  554    ,     ----,     ----,  554----,     ----,  554----,     ----, 2520----, 2900----, 1258    , 1322----,     ----, 1258X   , 3401----,     ----,     ----,     ----,     ----, 3607----,-----G   ,-----    ,     ----,-----    
TO536,20240323130000:  530    ,     ----,     ----,  530----,     ----,  530----,     ----, 2420----, 2940----, 1278    , 1338----,     ----, 1278X   , 3245----,     ----,     ----,     ----,     ----, 3740----,-----G   ,-----    ,     ----,-----    
TO536,20240323131500:  506    ,     ----,     ----,  506----,     ----,  506----,     ----, 2440----, 2780----, 1266    , 1334----,     ----, 1266X   , 3160----,     ----,     ----,     ----,     ----, 3711----,-----G   ,-----    ,     ----,-----    
TO536,20240323133000:  490    ,     ----,     ----,  490----,     ----,  490----,     ----, 2440----, 2540----, 1262    , 1330----,     ----, 1262X   , 3093----,     ----,     ----,     ----, 9999----, 3769----,-----G   ,-----    ,     ----,-----    
TO536,20240323134500:  538    ,     ----,     ----,  538----,     ----,  538----,     ----, 2460----, 2940----, 1266    , 1330----,     ----, 1266X   , 3282----,     ----,     ----,     ----, 9999----, 3643----,-----G   ,-----    ,     ----,-----    
TO536,20240323140000:  486    ,     ----,     ----,  486----,     ----,  486----,     ----, 2400----, 2560----, 1250    , 1322----,     ----, 1250X   , 3285----,     ----,     ----,     ----,   96----, 3562----,-----G   ,-----    ,     ----,-----    
TO536,20240323141500:  514    ,     ----,     ----,  514----,     ----,  514----,     ----, 2580----, 2640----, 1250    , 1314----,     ----, 1250X   , 3371----,     ----,     ----,     ----,     ----, 3548----,-----G   ,-----    ,     ----,-----    
TO536,20240323143000:  330    ,  386----, 1100----,  326----, 1090----,  326----,     ----, 2660----, 2820----, 1246    , 1310----,     ----, 1246X   , 3362----,  386----,  378----,     ----,  121----, 3581----,-----    ,-----    ,     ----,-----    
TO536,20240323144500:  186    ,     ----, 1160----,  314----, 1150----,  314----,     ----, 2420----, 2540----, 1238    , 1298----,     ----, 1238X   , 3278----,  374----,  382----,     ----,     ----, 3554----,-----    ,-----    ,     ----,-----    
TO536,20240323150000:  322    ,  374----, 1100----,  314----, 1070----,  314----,     ----, 2540----, 2740----, 1222    , 1222----,     ----, 1222X   , 3278----,  374----,  373----,     ----,  133----, 3556----,-----    ,-----    ,     ----,-----    
TO536,20240323151500:  218    ,     ----, 1100----, 1098----,  900----, 1098----,     ----, 2400----, 2760----, 1210    , 1274----,     ----, 1210X   , 3018----, 1158----, 1067----,     ----,  132----, 3658----,-----    ,-----    ,     ----,-----    
TO536,20240323153000:  210    ,  354----,  990----,  294----,  980----,  294----,     ----, 2300----,     ----, 1174    , 1250----,     ----, 1174X   , 3084----,  354----,  357----,     ----,   96----, 3465----,-----    ,-----    ,     ----,-----    
TO536,20240323154500:  198    ,     ----,  930----,  342----, 1000----,  342----,     ----, 2340----,     ----, 1166    , 1230----,     ----, 1166X   , 3252----,  402----,  407----,     ----,     ----, 3316----,-----    ,-----    ,     ----,-----    
TO536,20240323160000:  186    ,  318----, 1080----,  258----,     ----,  258----,     ----, 2300----,     ----, 1162    , 1230----,     ----, 1162X   , 3141----,  318----,     ----,     ----,     ----, 3366----,-----G   ,-----    ,     ----,-----    
TO536,20240323161500:  378    ,     ----,  920----,  378----,     ----,  378----,     ----, 2340----,     ----, 1166    , 1242----,     ----, 1166X   , 3134----,     ----,     ----,     ----,   96----, 3424----,-----G   ,-----    ,     ----,-----    
TO536,20240323163000:  338    ,     ----,     ----,  338----,     ----,  338----,     ----, 2320----,     ----, 1166    , 1246----,     ----, 1166X   , 3165----,     ----,     ----,     ----,     ----, 3493----,-----G   ,-----    ,     ----,-----    
TO536,20240323164500:  198    ,  282----, 1040----,  222----,  980----,  222----,     ----, 2380----,     ----, 1190    , 1254----,     ----, 1190X   , 3032----,  282----,  277----,     ----,   35----, 3601----,-----    ,-----    ,     ----,-----    
TO536,20240323170000:  174    ,     ----, 1040----,  202----,  860----,  202----,     ----, 2420----,     ----, 1166    , 1246----,     ----, 1166X   , 2886----,  262----,  259----,     ----,   96----, 3695----,-----    ,-----    ,     ----,-----    
TO536,20240323171500:  174    ,  218----,  920----,  158----,  980----,  158----,     ----, 2280----,     ----, 1158    , 1218----,     ----, 1158X   , 2787----,  218----,     ----,     ----,   84----, 3607----,-----G   ,-----    ,     ----,-----    
TO536,20240323173000:  162    ,  226----,     ----,  166----,     ----,  166----,     ----, 2220----,     ----, 2406    , 1206----,     ----, 2406X   , 3014----,  226----,     ----,     ----,  120----, 3503----,-----G   ,-----    ,     ----,-----    
TO536,20240323174500:  166    ,  194----,     ----,  134----,     ----,  134----,     ----, 2280----,     ----, 1138    , 1194----,     ----, 1138X   , 2868----,  194----,     ----,     ----,  108----, 3489----,-----G   ,-----    ,     ----,-----F   
TO536,20240323180000:  182    ,     ----,     ----,  182----,     ----,  182----,     ----, 2220----,     ----, 1102    , 1166----,     ----, 1102X   , 2825----,     ----,     ----,     ----,   96----, 3427----,-----G   ,-----    ,     ----,-----    
TO536,20240323181500:  170    ,     ----,     ----,  170----,     ----,  170----,     ----, 2220----,     ----, 1098    , 1158----,     ----, 1098X   , 2946----,     ----,     ----,     ----,  108----, 3346----,-----G   ,-----    ,     ----,-----    
TO536,20240323183000:  166    ,     ----,     ----,  166----,     ----,  166----,     ----, 2220----,     ----, 1078    , 1134----,     ----, 1078X   , 2904----,     ----,     ----,     ----,   96----, 3389----,-----G   ,-----    ,     ----,-----    
TO536,20240323184500:  162    ,     ----,     ----,  162----,     ----,  162----,     ----, 2120----,     ----, 1046    , 1106----,     ----, 1046X   , 2896----,     ----,     ----,     ----,   85----, 3225----,-----G   ,-----    ,     ----,-----    
TO536,20240323190000:  162    ,     ----,     ----,  162----,     ----,  162----,     ----, 2080----,     ----, 1022    , 1078----,     ----, 1022X   , 2604----,     ----,     ----,     ----,     ----, 3371----,-----G   ,-----    ,     ----,-----    
TO536,20240323191500:  162    ,     ----,     ----,  162----,     ----,  162----,     ----, 2020----,     ----,  954    , 1026----,     ----,  954X   , 2440----,     ----,     ----,     ----,  131----, 3338----,-----G   ,-----    ,     ----,-----F   
TO536,20240323193000:  166    ,     ----,     ----,  166----,     ----,  166----,     ----, 1940----,     ----,  870    ,  918----,     ----,  870X   , 2090----,     ----,     ----,     ----,   85----, 2838----,-----G   ,-----    ,     ----,-----    
TO536,20240323194500:  162    ,     ----,     ----,  162----,     ----,  162----,     ----, 1900----,     ----,  778    ,  838----,     ----,  778X   , 2766----,  109----,  109----,     ----,  131----, 2324----,-----    ,-----    ,     ----,-----    
TO536,20240323200000:  162    ,     ----,     ----,  162----,     ----,  162----,     ----, 1920----,     ----,  734    ,  814----,     ----,  734X   , 3169----,     ----,     ----,     ----,   83----, 2065----,-----G   ,-----    ,     ----,-----    
TO536,20240323201500:  162    ,     ----,     ----,  162----,     ----,  162----,     ----, 2100----,     ----,  726    ,  798----,     ----,  726X   , 2765----,     ----,     ----,     ----,  121----, 1923----,-----G   ,-----    ,     ----,-----    
TO536,20240323203000:  162    ,     ----,     ----,  162----,     ----,  162----,     ----, 2200----,     ----,  710    ,  774----,     ----,  710X   , 2645----,     ----,     ----,     ----,   72----, 1850----,-----G   ,-----    ,     ----,-----    
TO536,20240323204500:  166    ,     ----,     ----,  166----,     ----,  166----,     ----, 2220----,     ----,  686    ,  730----,     ----,  686X   , 3472----,     ----,     ----,     ----,   73----, 1803----,-----G   ,-----    ,     ----,-----    
TO536,20240323210000:  162    ,     ----,     ----,  162----,     ----,  162----,     ----, 2280----,     ----,  670    ,  726----,     ----,  670X   , 3169----,     ----,     ----,     ----,   74----, 1642----,-----G   ,-----    ,     ----,-----    
TO536,20240323211500:  162    ,     ----,     ----,  174----,     ----,  174----,     ----, 2620----,     ----,  666    ,  730----,     ----,  666X   , 3353----,  234----,     ----,     ----,   38----, 1599----,-----G   ,-----    ,     ----,-----    
TO536,20240323213000:  174    ,     ----,  920----,  230----,  960----,  230----,     ----, 2960----,     ----,  678    ,  726----,     ----,  678X   , 3340----,  290----,     ----,     ----,   38----,     ----,-----G   ,-----    ,     ----,-----    
TO536,20240323214500:  166    ,     ----,  920----,  202----,  960----,  202----,     ----, 3000----,     ----,  690    ,  726----,     ----,  690X   , 3770----,  262----,  263----,     ----,   61----, 1764----,-----    ,-----    ,     ----,-----    
TO536,20240323220000:  162    ,  262----,  920----,  202----,  960----,  202----,     ----, 2860----,     ----,  694    ,  718----,     ----,  694X   , 3753----,  262----,  255----,     ----,   61----, 1827----,-----    ,-----    ,     ----,-----    
TO536,20240323221500:  170    ,     ----,  920----,  166----,  980----,  166----,     ----, 2980----,     ----,  702    ,  722----,     ----,  702X   , 3767----,  226----,  228----,     ----,   61----, 1819----,-----    ,-----    ,     ----,-----    
TO536,20240323223000:  166    ,     ----,  900----,  174----,  960----,  174----,     ----, 2900----,     ----,  702    ,  722----,     ----,  702X   , 3634----,  234----,     ----,     ----,   72----, 1879----,-----G   ,-----    ,     ----,-----    
TO536,20240323224500:  162    ,     ----,  860----,  186----,  960----,  186----,     ----, 2840----,     ----,  710    ,  714----,     ----,  710X   , 3357----,  246----,  247----,     ----,   50----, 1909----,-----    ,-----    ,     ----,-----    
TO536,20240323230000:  162    ,     ----,  920----,  206----,  960----,  206----,     ----, 2740----,     ----,  710    ,  722----,     ----,  710X   , 3035----,  266----,  255----,     ----,   96----, 1807----,-----    ,-----    ,     ----,-----    
TO536,20240323231500:  170    ,     ----,     ----,  178----,  960----,  178----,     ----, 2700----,     ----,  710    ,  774----,     ----,  710X   , 3152----,  238----,     ----,     ----,   37----, 1969----,-----G   ,-----    ,     ----,-----    
TO536,20240323233000:  170    ,     ----,  920----,  154----,  980----,  154----,     ----, 2600----,     ----,  710    ,  766----,     ----,  710X   , 2903----,  214----,     ----,     ----,   49----, 1912----,-----G   ,-----    ,     ----,-----    
TO536,20240323234500:  166    ,     ----,     ----,  166----,     ----,  166----,     ----, 2580----,     ----,  698    ,  722----,     ----,  698X   , 3018----,     ----,     ----,     ----,   38----, 1970----,-----G   ,-----    ,     ----,-----    
#                       fmin  ,   foE   ,   h'E   ,   foEs  ,   h'Es  ,   fbEs  ,   foF1  ,   h'F   ,   h'F2  ,   foF2  ,   fxF2  ,   M3F2  ,   fxI   ,   hpF2  ,   fxEs  ,   ftEs  ,   fxF1  ,   FSPR  ,   MUF   ,   Es1   ,   Es2   ,   Es    ,   W     
TO536,20240324000000:  162    ,     ----,     ----,  142----,  980----,  142----,     ----, 2620----,     ----,  690    ,  726----,     ----,  690X   , 3440----,  202----,     ----,     ----,   62----, 1864----,-----G   ,-----    ,     ----,-----    
TO536,20240324001500:  162    ,     ----,     ----,  162----,     ----,  162----,     ----, 2680----,     ----,  694    ,  726----,     ----,  694X   , 3660----,     ----,     ----,     ----,   60----, 1852----,-----G   ,-----    ,     ----,-----    
TO536,20240324003000:  170    ,  202----,     ----,  142----,  980----,  142----,     ----, 2660----,     ----,  702    ,  726----,     ----,  702X   , 3264----,  202----,     ----,     ----,   38----, 1880----,-----G   ,-----    ,     ----,-----    
TO536,20240324004500:  166    ,  194----,     ----,  134----,     ----,  134----,     ----, 2600----,     ----,  690    ,  726----,     ----,  690X   , 3380----,  194----,     ----,     ----,   72----, 1931----,-----G   ,-----    ,     ----,-----    
TO536,20240324010000:  170    ,     ----,     ----,  170----,  980----,  170----,     ----, 2580----,     ----,  682    ,  726----,     ----,  682X   , 3344----,  230----,     ----,     ----,   35----, 1923----,-----G   ,-----    ,     ----,-----    
TO536,20240324011500:  166    ,     ----,  860----,  178----,  960----,  178----,     ----, 2600----,     ----,  678    ,  726----,     ----,  678X   , 3247----,  238----,  231----,     ----,   50----, 1879----,-----    ,-----    ,     ----,-----    
TO536,20240324013000:  162    ,     ----,  900----,  186----,  960----,  186----,     ----, 2580----,     ----,  674    ,  726----,     ----,  674X   , 3339----,  246----,  239----,     ----,   96----, 1888----,-----    ,-----    ,     ----,-----    
TO536,20240324014500:  170    ,     ----,  860----,  174----,  980----,  174----,     ----, 2600----,     ----,  654    ,  722----,     ----,  654X   , 3320----,  234----,  231----,     ----,   96----, 1834----,-----    ,-----    ,     ----,-----    
TO536,20240324020000:  162    ,     ----,  860----,  174----,  960----,  174----,     ----, 2660----,     ----,  638    ,  698----,     ----,  638X   , 3221----,  234----,     ----,     ----,   62----, 1720----,-----G   ,-----    ,     ----,-----    
TO536,20240324021500:  166    ,     ----,     ----,  166----,  980----,  166----,     ----, 2700----,     ----,  610    ,  678----,     ----,  610X   , 3296----,  226----,     ----,     ----,   62----, 1651----,-----G   ,-----    ,     ----,-----    
TO536,20240324023000:  166    ,     ----,     ----,  138----,  960----,  138----,     ----, 2860----,     ----,  594    ,  662----,     ----,  594X   , 3634----,  198----,     ----,     ----,   62----, 1502----,-----G   ,-----    ,     ----,-----    
TO536,20240324024500:  162    ,     ----,     ----,  162----,     ----,  162----,     ----, 3060----,     ----,  594    ,  646----,     ----,  594X   , 3900----,     ----,     ----,     ----,     ----, 1320----,-----G   ,-----    ,     ----,-----    
TO536,20240324030000:  162    ,     ----,     ----,  162----,     ----,  162----,     ----, 3220----,     ----,  594    ,  598----,     ----,  594X   , 4117----,     ----,     ----,     ----,     ----, 1430----,-----G   ,-----    ,     ----,-----    
TO536,20240324031500:  166    ,  222----,     ----,  162----,  960----,  162----,     ----, 3240----,     ----,  602    ,  654----,     ----,  602X   , 4056----,  222----,     ----,     ----,     ----, 1321----,-----G   ,-----    ,     ----,-----    
TO536,20240324033000:  162    ,     ----,     ----,  162----,  960----,  162----,     ----, 3160----,     ----,  674    ,  674----,     ----,  674X   , 3930----,  222----,     ----,     ----,     ----, 1525----,-----G   ,-----    ,     ----,-----    
TO536,20240324034500:  170    ,     ----,     ----,  170----,     ----,  170----,     ----, 3140----,     ----,  638    ,  670----,     ----,  638X   , 3954----,     ----,     ----,     ----,     ----, 1487----,-----G   ,-----    ,     ----,-----    
TO536,20240324040000:  162    ,     ----,     ----,  162----,     ----,  162----,     ----, 3160----,     ----,  626    ,  678----,     ----,  626X   , 4083----,     ----,     ----,     ----,  119----, 1504----,-----G   ,-----    ,     ----,-----    
TO536,20240324041500:  166    ,     ----,     ----,  134----,  960----,  134----,     ----, 3160----,     ----,  630    ,  678----,     ----,  630X   , 4144----,  194----,     ----,     ----,     ----, 1571----,-----G   ,-----    ,     ----,-----    
TO536,20240324043000:  166    ,     ----,     ----,  166----,     ----,  166----,     ----, 3080----,     ----,  630    ,  682----,     ----,  630X   , 3761----,     ----,     ----,     ----,     ----, 1464----,-----G   ,-----    ,     ----,-----    
TO536,20240324044500:  190    ,     ----,     ----,  190----,     ----,  190----,     ----, 2980----,     ----,  638    ,  686----,     ----,  638X   , 3455----,     ----,     ----,     ----,   96----, 1612----,-----G   ,-----    ,     ----,-----    
TO536,20240324050000:  166    ,     ----,     ----,  166----,     ----,  166----,     ----, 2800----,     ----,  642    ,  706----,     ----,  642X   , 3603----,     ----,     ----,     ----,  108----, 1733----,-----G   ,-----    ,     ----,-----    
TO536,20240324051500:  166    ,     ----,     ----,  166----,     ----,  166----,     ----, 2600----,     ----,  670    ,  710----,     ----,  670X   , 3236----,     ----,     ----,     ----,   36----, 1936----,-----G   ,-----    ,     ----,-----    
TO536,20240324053000:  198    ,     ----,     ----,  198----,     ----,  198----,     ----, 2440----,     ----,  718    ,  782----,     ----,  718X   , 2322----,     ----,     ----,     ----,   96----, 2082----,-----G   ,-----    ,     ----,-----    
TO536,20240324054500:  182    ,  234----,     ----,  174----,  980----,  174----,     ----, 2160----,     ----,  794    ,  846----,     ----,  794X   , 2650----,  234----,     ----,     ----,   96----, 2521----,-----G   ,-----    ,     ----,-----    
TO536,20240324060000:  166    ,  206----, 1400----,  154----,  980----,  154----,     ----, 2040----,     ----,  818    ,  890----,     ----,  818X   ,  863----,  214----,     ----,     ----,   83----,  100----,-----G   ,-----    ,     ----,-----F   
TO536,20240324061500:  170    ,  310----, 1350----,  250----, 1310----,  250----,     ----, 2040----,     ----,  826    ,  890----,     ----,  826X   , 2069----,  310----,  239----,     ----,  108----, 2785----,-----    ,-----    ,     ----,-----    
TO536,20240324063000:  174    ,  310----, 1290----,  254----,  980----,  254----,     ----, 2060----,     ----,  830    ,  894----,     ----,  830X   , 2217----,  314----,  247----,     ----,   96----, 2927----,-----    ,-----    ,     ----,-----    
TO536,20240324064500:  178    ,  250----, 1110----,  190----,  980----,  190----,     ----, 2080----,     ----,  882    ,  938----,     ----,  882X   , 2729----,  250----,  235----,     ----,   96----, 2780----,-----    ,-----    ,     ----,-----    
TO536,20240324070000:  170    ,  254----,  980----,  194----,  980----,  194----,     ----, 2200----,     ----,  946    , 1014----,     ----,  946X   , 2681----,  254----,  251----,     ----,   85----, 3033----,-----    ,-----    ,     ----,-----    
TO536,20240324071500:  178    ,  266----,  980----,  206----,  980----,  206----,     ----, 2220----,     ----, 1046    , 1102----,     ----, 1046X   , 2426----,  266----,  255----,     ----,  108----, 3246----,-----    ,-----    ,     ----,-----    
TO536,20240324073000:  202    ,     ----,  980----,  206----,  980----,  206----,     ----, 2340----,     ----, 1118    , 1122----,     ----, 1118X   , 2865----,  266----,     ----,     ----,   84----, 3533----,-----G   ,-----    ,     ----,-----    
TO536,20240324074500:  186    ,  298----,  980----,  238----,  960----,  238----,     ----, 2140----,     ----, 1122    , 1166----,     ----, 1122X   , 2411----,  298----, 1384----,     ----,   84----, 3812----,-----    ,-----    ,     ----,-----    
TO536,20240324080000:  214    ,  306----,  980----,  246----,  970----,  246----,     ----, 2100----,     ----, 1070    , 1138----,     ----, 1070X   , 2661----,  306----,  295----,     ----,   96----, 3465----,-----    ,-----    ,     ----,-----    
TO536,20240324081500:  182    ,  314----,  980----,  254----, 1020----,  254----,     ----, 2080----,     ----, 1074    , 1126----,     ----, 1074X   ,  641----,  314----,  318----,     ----,  131----,  100----,-----    ,-----    ,     ----,-----    
TO536,20240324083000:  182    ,  354----,  920----,  322----,  980----,  322----,     ----, 2100----, 2220----, 1162    , 1150----,     ----, 1162X   , 2738----,  382----,  344----,     ----,   84----, 3581----,-----    ,-----    ,     ----,-----    
TO536,20240324084500:  374    ,     ----, 1140----,  358----,     ----,  358----,     ----, 2220----, 2180----, 1218    , 1266----,     ----, 1218X   , 3266----,  418----,     ----,     ----,   84----, 3562----,-----G   ,-----    ,     ----,-----    
TO536,20240324090000:  382    ,     ----, 1160----,  350----,     ----,  350----,     ----, 2220----, 2180----, 1198    , 1262----,     ----, 1198X   , 2790----,  410----,     ----,     ----,   84----, 3733----,-----G   ,-----    ,     ----,-----    
TO536,20240324091500:  386    ,     ----, 1080----,  358----,     ----,  358----,     ----, 2140----, 2160----, 1170    , 1234----,     ----, 1170X   , 2799----,  418----,     ----,     ----,   96----, 3724----,-----G   ,-----    ,     ----,-----    
TO536,20240324093000:  290    ,  478----,  990----,  422----,  960----,  422----,     ----, 2120----, 2200----, 1146    , 1206----,     ----, 1146X   , 2732----,  482----,  418----,     ----,   96----, 3577----,-----    ,-----    ,     ----,-----    
TO536,20240324094500:  206    ,  378----,  930----,  442----,  960----,  442----,     ----, 2080----, 2200----, 1138    , 1190----,     ----, 1138X   , 2873----,  502----,  500----,     ----,   84----, 3448----,-----    ,-----    ,     ----,-----    
TO536,20240324100000:  458    ,     ----,     ----,  458----,     ----,  458----,     ----, 2160----, 2180----, 1126    , 1170----,     ----, 1126X   , 2950----,     ----,     ----,     ----,  108----, 3472----,-----G   ,-----    ,     ----,-----    
TO536,20240324101500:  410    ,     ----, 1040----,  462----,  990----,  462----,     ----, 2180----, 2260----, 1086    , 1150----,     ----, 1086X   , 2842----,  522----,  519----,     ----,  108----, 3311----,-----    ,-----    ,     ----,-----    
TO536,20240324103000:  486    ,     ----, 1080----,  486----,     ----,  486----,     ----, 2220----, 2480----, 1078    , 1138----,     ----, 1078X   , 3172----,     ----,     ----,     ----,     ----, 2972----,-----G   ,-----    ,     ----,-----    
TO536,20240324104500:  486    ,     ----,     ----,  486----,     ----,  486----,     ----, 2280----, 2500----, 1094    , 1158----,     ----, 1094X   , 3298----,     ----,     ----,     ----, 9999----, 3054----,-----G   ,-----    ,     ----,-----    
TO536,20240324110000:  498    ,     ----,     ----,  498----,     ----,  498----,     ----, 2300----, 2660----, 1142    , 1202----,     ----, 1142X   , 3580----,     ----,     ----,     ----,     ----, 3141----,-----G   ,-----    ,     ----,-----    
