#                       fmin  ,   foE   ,   h'E   ,   foEs  ,   h'Es  ,   fbEs  ,   foF1  ,   h'F   ,   h'F2  ,   foF2  ,   fxF2  ,   M3F2  ,   fxI   ,   hpF2  ,   fxEs  ,   ftEs  ,   fxF1  ,   FSPR  ,   MUF   ,   Es1   ,   Es2   ,   Es    ,   W     
TO536,20240322064500:  170    ,  234----, 1040----,  174----,  980----,  174----,     ----, 2000----,     ----,  866    ,  930----,     ----,  866X   , 2048----,  234----,     ----,     ----,   85----, 2872----,-----G   ,-----    ,     ----,-----    
TO536,20240322070000:  182    ,  246----, 1040----,  186----,  980----,  186----,     ----, 2060----,     ----,  914    ,  910----,     ----,  914X   , 2874----,  246----,     ----,     ----,  108----, 2902----,-----G   ,-----    ,     ----,-----    
TO536,20240322071500:  166    ,  266----,  930----,  206----,  980----,  206----,     ----, 2020----,     ----,  950    , 1018----,     ----,  950X   , 2764----,  266----,  325----,     ----,   96----, 2963----,-----    ,-----    ,     ----,-----    
TO536,20240322073000:  178    ,  274----,  980----,  214----,  980----,  214----,     ----, 2100----,     ----, 1062    , 1122----,     ----, 1062X   , 2962----,  274----,     ----,     ----,   84----, 3321----,-----G   ,-----    ,     ----,-----    
TO536,20240322074500:  178    ,     ----,  930----,  290----,  960----,  290----,     ----, 2100----,     ----, 1138    , 1138----,     ----, 1138X   , 2646----,  350----,  352----,     ----,   73----, 3787----,-----    ,-----    ,     ----,-----    
TO536,20240322080000:  182    ,  334----,  930----,  298----, 1020----,  298----,     ----, 2160----,     ----, 1166    , 1162----,     ----, 1166X   , 2536----,  358----,  361----,     ----,  108----, 3925----,-----    ,-----    ,     ----,-----    
TO536,20240322081500:  182    ,  342----,  920----,  386----, 1000----,  386----,     ----, 2080----,     ----, 1162    , 1230----,     ----, 1162X   , 2511----,  446----,  449----,     ----,  108----, 3942----,-----    ,-----    ,     ----,-----    
TO536,20240322083000:  190    ,  430----,  980----,  410----,  980----,  410----,     ----, 2160----, 2140----, 1206    , 1266----,     ----, 1206X   , 2551----,  470----,  470----,     ----,   96----, 3970----,-----    ,-----    ,     ----,-----    
TO536,20240322084500:  218    ,     ----,  980----,  394----,  980----,  394----,     ----, 2180----, 2100----, 1222    , 1278----,     ----, 1222X   , 2509----,  454----,  407----,     ----,   96----, 4042----,-----    ,-----    ,     ----,-----    
TO536,20240322090000:  218    ,  438----,  920----,  418----,  980----,  418----,     ----, 2120----, 2140----, 1178    , 1250----,     ----, 1178X   , 2672----,  478----,  426----,     ----,  108----, 3823----,-----    ,-----    ,     ----,-----    
TO536,20240322091500:  214    ,     ----,  920----,  446----,  960----,  446----,     ----, 2060----, 2240----, 1154    , 1218----,     ----, 1154X   , 2847----,  506----,  507----,     ----,   84----, 3615----,-----    ,-----    ,     ----,-----    
TO536,20240322093000:  250    ,     ----, 1040----,  630----,  960----,  630----,     ----, 2220----, 2560----, 1174    , 1254----,     ----, 1174X   , 2801----,  690----, 1423----,     ----,  108----, 3672----,-----    ,-----    ,     ----,-----    
TO536,20240322094500:  282    ,  366----, 1040----,  334----,  980----,  334----,     ----, 2120----, 2400----, 1218    , 1286----,     ----, 1218X   , 2717----,  394----,  400----,     ----,   84----, 3862----,-----    ,-----    ,     ----,-----    
TO536,20240322100000:  278    ,     ----,  930----,  350----,  820----,  350----,     ----, 2100----, 2400----, 1274    , 1338----,     ----, 1274X   , 3003----,  410----,  404----,     ----,  120----, 3895----,-----    ,-----    ,     ----,-----    
TO536,20240322101500:  254    ,     ----,  980----,  498----,  940----,  498----,     ----, 2180----, 2320----, 1318    , 1358----,     ----, 1318X   , 2902----,  558----,  530----,     ----,   84----, 4060----,-----    ,-----    ,     ----,-----    
TO536,20240322103000:  290    ,  450----,  980----,  478----,  940----,  478----,     ----, 2260----, 2460----, 1326    , 1390----,     ----, 1326X   , 2999----,  538----,  418----,     ----,   96----, 4138----,-----    ,-----    ,     ----,-----    
TO536,20240322104500:  278    ,     ----,  920----,  358----,  960----,  358----,     ----, 2240----, 2300----, 1330    , 1390----,     ----, 1330X   , 2865----,  418----,  418----,     ----,   84----, 4159----,-----    ,-----    ,     ----,-----    
TO536,20240322110000:  286    ,     ----, 1040----,  454----,  940----,  454----,     ----, 2280----, 2300----, 1346    , 1398----,     ----, 1346X   , 2923----,  514----,  507----,     ----,  108----, 4127----,-----    ,-----    ,     ----,-----    
TO536,20240322111500:  294    ,     ----,  980----,  406----,  960----,  406----,     ----, 2080----, 2640----, 1350    , 1414----,     ----, 1350X   , 2891----,  466----,  433----,     ----,   84----, 4146----,-----    ,-----    ,     ----,-----    
TO536,20240322113000:  326    ,     ----,  980----,  470----,  980----,  470----,     ----, 2240----, 2400----, 1362    , 1414----,     ----, 1362X   , 2983----,  530----,  507----,     ----,  108----, 4206----,-----    ,-----    ,     ----,-----    
TO536,20240322114500:  354    ,     ----,  980----,  542----,  960----,  542----,     ----, 2240----, 2400----, 1362    , 1426----,     ----, 1362X   , 2990----,  602----,  600----,     ----,   96----, 4241----,-----    ,-----    ,     ----,-----    
TO536,20240322120000:  342    ,     ----,  980----,  514----,  980----,  514----,     ----, 2260----, 2400----, 1350    , 1418----,     ----, 1350X   , 2889----,  574----,  546----,     ----,  108----, 4164----,-----    ,-----    ,     ----,-----    
TO536,20240322121500:  302    ,     ----,  980----,  462----,  940----,  462----,     ----, 2100----, 2640----, 1330    , 1386----,     ----, 1330X   , 3071----,  522----,  507----,     ----,   84----, 3998----,-----    ,-----    ,     ----,-----    
TO536,20240322123000:  310    ,     ----,  980----,  398----,  940----,  398----,     ----, 2180----, 2540----, 1318    , 1382----,     ----, 1318X   , 2972----,  458----,  445----,     ----,  120----, 3980----,-----    ,-----    ,     ----,-----    
TO536,20240322124500:  290    ,  326----,  980----,  358----,  960----,  358----,     ----, 2300----, 2980----, 1318    , 1378----,     ----, 1318X   , 3028----,  418----,  407----,     ----,   84----, 3944----,-----    ,-----    ,     ----,-----    
TO536,20240322130000:  334    ,     ----,  980----,  466----,  980----,  466----,     ----, 2300----, 2560----, 1314    , 1370----,     ----, 1314X   , 3230----,  526----,  453----,     ----,  120----, 3900----,-----    ,-----    ,     ----,-----    
TO536,20240322131500:  326    ,     ----,  980----,  370----,  980----,  370----,     ----, 2200----, 2440----, 1318    , 1378----,     ----, 1318X   , 3214----,  430----,  411----,     ----,   96----, 3905----,-----    ,-----    ,     ----,-----    
TO536,20240322133000:  346    ,     ----, 1000----,  302----,  960----,  302----,     ----, 2200----, 2480----, 1326    , 1382----,     ----, 1326X   , 3124----,  362----,     ----,     ----,   96----, 4021----,-----G   ,-----    ,     ----,-----    
TO536,20240322134500:  278    ,     ----,  980----,  442----,  940----,  442----,     ----, 2200----, 2540----, 1186    , 1186----,     ----, 1186X   , 3095----,  502----,  507----,     ----,   72----, 3974----,-----    ,-----    ,     ----,-----    
TO536,20240322140000:  290    ,     ----,  980----,  478----,  940----,  478----,     ----, 2200----, 2420----, 1298    , 1350----,     ----, 1298X   , 3122----,  538----,  534----,     ----,   96----, 3926----,-----    ,-----    ,     ----,-----    
TO536,20240322141500:  322    ,     ----,  920----,  482----,  960----,  482----,     ----, 2320----, 2560----, 1262    , 1330----,     ----, 1262X   , 2984----,  542----,  449----,     ----,   72----, 3824----,-----    ,-----    ,     ----,-----    
TO536,20240322143000:  298    ,     ----,  980----,  414----,  940----,  414----,     ----, 2320----, 2360----, 1246    , 1310----,     ----, 1246X   , 2854----,  474----,  470----,     ----,   96----, 3884----,-----    ,-----    ,     ----,-----    
TO536,20240322144500:  278    ,     ----,  920----,  370----,  960----,  370----,     ----, 2260----, 2480----, 1230    , 1290----,     ----, 1230X   , 3075----,  430----,  426----,     ----,  108----, 3739----,-----    ,-----    ,     ----,-----    
TO536,20240322150000:  266    ,     ----,  920----,  506----,  920----,  506----,     ----, 2200----, 2300----, 1198    , 1262----,     ----, 1198X   , 2959----,  566----, 1347----,     ----,  108----, 3632----,-----    ,-----    ,     ----,-----    
TO536,20240322151500:  238    ,     ----,  980----,  582----,  900----,  582----,     ----, 2240----, 2340----, 1166    , 1230----,     ----, 1166X   , 2911----,  642----,  642----,     ----,   96----, 3583----,-----    ,-----    ,     ----,-----    
TO536,20240322153000:  258    ,     ----,  980----,  558----,  920----,  558----,     ----, 2100----,     ----, 1134    , 1202----,     ----, 1134X   , 3073----,  618----,  538----,     ----,   84----, 3376----,-----    ,-----    ,     ----,-----    
TO536,20240322154500:  206    ,     ----,  980----,  542----,  920----,  542----,     ----, 2140----,     ----, 1138    , 1206----,     ----, 1138X   , 2981----,  602----,  554----,     ----,  120----, 3428----,-----    ,-----    ,     ----,-----    
TO536,20240322160000:  206    ,     ----,  920----,  750----,  960----,  750----,     ----, 2460----,     ----, 1146    , 1206----,     ----, 1146X   , 3064----,  810----,  791----,     ----,  120----, 3492----,-----    ,-----    ,  300----,-----    
TO536,20240322161500:  194    ,     ----,  980----,  590----,  920----,  590----,     ----, 2460----,     ----, 1142    , 1206----,     ----, 1142X   , 2755----,  650----,  650----,     ----,   96----, 3669----,-----    ,-----    ,     ----,-----    
TO536,20240322163000:  214    ,     ----,  920----,  494----,  920----,  494----,     ----, 2480----,     ----, 1122    , 1166----,     ----, 1122X   , 2899----,  554----,  515----,     ----,   96----, 3529----,-----    ,-----    ,     ----,-----    
