UT                                    BX_FGS-D               BY_FGS-D               BZ_FGS-D
                                        (@_1_)                 (@_2_)                 (@_3_)
dd-mm-yyyy hh:mm:ss.ms         nT_GSE_(All_Qs)        nT_GSE_(All_Qs)        nT_GSE_(All_Qs)
17-03-2015 03:03:48.608               -5.37606                12.9660                26.9444
17-03-2015 03:03:52.686               -6.58546                13.4441                25.7279
17-03-2015 03:03:56.764               -6.45619                15.0003                27.6894
17-03-2015 03:04:00.842               -5.94349                18.6588                23.3180
17-03-2015 03:04:04.920               -9.78662                13.9332                22.5424
17-03-2015 03:04:08.999               -9.47376                17.9914                26.8900
17-03-2015 03:04:13.077               -11.5009                15.6201                26.4256
17-03-2015 03:04:17.155               -8.16990                12.2630                25.5772
17-03-2015 03:04:21.233               -7.36637                14.3732                24.9485
17-03-2015 03:04:25.311               -8.88864                14.1168                26.1855
17-03-2015 03:04:29.389               -10.4684                16.3660                28.4686
17-03-2015 03:04:33.468               -9.68349                17.2405                29.7040
17-03-2015 03:04:37.546               -7.26077                12.3645                24.0720
17-03-2015 03:04:41.624               -9.70576                12.0812                26.4637
17-03-2015 03:04:45.702               -12.1222                16.3396                24.5161
17-03-2015 03:04:49.780               -9.54623                17.1028                25.3446
17-03-2015 03:04:53.859               -9.37574                17.4709                26.4064
17-03-2015 03:04:57.937               -9.67199                13.2989                24.0648
17-03-2015 03:05:02.015               -8.35095                15.0638                28.9497
17-03-2015 03:05:06.093               -9.49221                15.9658                31.1438
17-03-2015 03:05:10.171               -6.90501                13.2503                24.4912
17-03-2015 03:05:14.249               -5.09245                11.3766                25.0871
17-03-2015 03:05:18.328               -2.80950                10.1575                26.0952
17-03-2015 03:05:22.406               -4.95081                15.9353                29.9509
17-03-2015 03:05:26.484               -6.14087                13.8125                31.2207
17-03-2015 03:05:30.562               -8.36568                12.1557                27.8948
17-03-2015 03:05:34.640               -9.44059                15.7069                29.4276
17-03-2015 03:05:38.719               -6.06427                17.9176                28.1497
17-03-2015 03:05:42.797               -7.01198                17.0758                29.5661
17-03-2015 03:05:46.875               -8.25490                15.3557                29.4666
